cid,std_smiles,CompRate_ylog,dG_MD_ylog,MolWeight,nbAtoms,nbHeavyAtoms,nbRing,nbRotBd,nbHBdAcc,ndHBdDon,TopoPolSurfAir,MolarRefract,CombDipolPolariz,LogP_pred,MP_pred,BP_pred,LogVP_pred,LogWS_pred,LogHL_pred,RT_pred,LogKOA_pred,ionization,pKa_b_pred,LogD55_pred,LogD74_pred,LogOH_pred,nbNring,pKa_b_pred_divN,pKa_b_pred_multN,frac_OS_N,pKa_b_pred_div_O_S,frac_N,frac_OS_atoms,frac_ring_N,frac_Nring_atoms,frac_ring_atoms,"(),(-),xC","(),(-),(-),(-),xN","(),(-),(-),xC","(),(-),xO",C,N,O,"(),(-),(-),(-),xC","(),(-),(-),(-),(-),xC","(),(-),(-),xO","(),(-),(-),xS",S,"(),(-),xS"
108-01-0,CN(C)CCO,-0.5295337774318952,-1.777380819249396,89.084063972,17.0,6.0,0.0,2.0,2.0,1.0,23.47,26.2804,0.63,-0.136555424682794,-58.7657315622504,134.044794213564,0.501038198918034,1.0497498779552,-6.31173404612479,0.0,4.08389693079128,1.0,9.46003067670361,-4.09663371485578,-2.20035200605227,-10.0491967066498,0,9.46003067670361,9.46003067670361,1.0,9.46003067670361,0.0588235294117647,0.0588235294117647,0.0,0.0,0.0,2.0,1.0,2.0,1.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3179-63-3,CN(C)CCCO,-0.4634053371973297,-1.7708485475777669,103.099714036,20.0,7.0,0.0,3.0,2.0,1.0,23.47,29.192,0.697,0.143093575606053,0.122657873663738,163.415498004668,0.0387448838106345,0.989549897102059,-6.13838599021448,1.11640844863004,4.27876378508826,1.0,9.65976832073919,-4.01670480596261,-2.11905610355848,-10.7344369985638,0,9.65976832073919,9.65976832073919,1.0,9.65976832073919,0.05,0.05,0.0,0.0,0.0,2.0,1.0,3.0,1.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
100-37-8,CCN(CC)CCO,-0.6843564037974678,-1.806987367409909,117.1153641,23.0,8.0,0.0,4.0,2.0,1.0,23.47,34.868,0.63,0.353824199082473,6.25107640418169,163.009747200712,0.144849634984294,0.929921608843357,-6.10041735951274,2.64796098344668,4.79750264974333,1.0,9.7398482000857,-3.88604900005936,-1.9880052775395,-10.7963705930626,0,9.7398482000857,9.7398482000857,1.0,9.7398482000857,0.0434782608695652,0.0434782608695652,0.0,0.0,0.0,2.0,1.0,4.0,1.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
622-93-5,CCN(CC)CCCO,-0.7045537780701484,-1.816606393585401,131.131014164,26.0,9.0,0.0,5.0,2.0,1.0,23.47,37.7796,0.697,0.649895570254818,-4.29996343513351,189.487417166872,0.0197577132177823,0.466677584675176,-6.20947509747118,5.11266082255141,5.7206671764965,1.0,9.94296883781939,-3.79308892813739,-1.8943154752778,-10.5257104506334,0,9.94296883781939,9.94296883781939,1.0,9.94296883781939,0.0384615384615384,0.0384615384615384,0.0,0.0,0.0,2.0,1.0,5.0,1.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
108-16-7,CC(O)CN(C)C,-0.6199063761181337,-1.797589296715721,103.099714036,20.0,7.0,0.0,2.0,2.0,1.0,23.47,30.8648,0.591,0.199697679740278,123.363407414748,124.873300900995,0.157397853095845,0.937286473817942,-6.14747587169666,0.0,4.19495940318288,1.0,9.76313021141914,-4.06345622588993,-2.16531061441312,-10.7000538117528,0,9.76313021141914,9.76313021141914,1.0,9.76313021141914,0.05,0.05,0.0,0.0,0.0,3.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
4402-32-8,CCN(CC)CC(C)O,-0.5440516628113669,-1.7966152231634418,131.131014164,26.0,9.0,0.0,4.0,2.0,1.0,23.47,39.4524,0.591,0.73699365055517,-5.65852008734929,186.649251992289,-0.62217248400639,0.422208507136568,-6.07237970032259,4.62735763536392,4.93275769632966,1.0,10.3130275416658,-4.07604057075634,-2.17656415446034,-10.7465680844443,0,10.3130275416658,10.3130275416658,1.0,10.3130275416658,0.0384615384615384,0.0384615384615384,0.0,0.0,0.0,3.0,1.0,3.0,1.0,7.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
96-80-0,CC(C)N(CCO)C(C)C,-0.3001964695067938,-1.760486044555021,145.146664228,29.0,10.0,0.0,4.0,2.0,1.0,23.47,45.2776,0.552,1.67205923240698,-38.8447661741286,190.019311143199,-1.09250562527142,-1.07679043138101,-5.56386011871125,5.73690679952428,5.68986805004653,1.0,10.180266732698,-3.008216568323,-1.10892721051763,-10.4442217858942,0,10.180266732698,10.180266732698,1.0,10.180266732698,0.0344827586206896,0.0344827586206896,0.0,0.0,0.0,4.0,1.0,2.0,1.0,8.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
7005-47-2,CN(C)C(C)(C)CO,-0.3969751014297121,-1.7791188360271972,117.1153641,23.0,8.0,0.0,2.0,2.0,1.0,23.47,35.3362,0.551,0.290601334328885,18.9983992639189,159.966989282201,0.139537265564665,0.929386405792491,-6.11770990254469,1.73107593788502,4.30635375107839,1.0,9.81802095721184,-4.02744050396085,-2.1290751463049,-10.7367395217721,0,9.81802095721184,9.81802095721184,1.0,9.81802095721184,0.0434782608695652,0.0434782608695652,0.0,0.0,0.0,4.0,1.0,1.0,1.0,6.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
19059-68-8,CN(C)CC(C)(C)CO,-0.3561859493993604,-1.7616839765060075,131.131014164,26.0,9.0,0.0,3.0,2.0,1.0,23.47,39.9051,0.618,0.493230254917829,-4.05972511613236,186.852151527276,0.0165579685993562,0.474499605620852,-6.08195937704023,2.69486658105534,4.90221556508554,1.0,9.65023692438178,-3.65703739730325,-1.75944072113107,-10.471361105708,0,9.65023692438178,9.65023692438178,1.0,9.65023692438178,0.0384615384615384,0.0384615384615384,0.0,0.0,0.0,4.0,1.0,2.0,1.0,7.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
5464-15-3,CCN(C)CCC(C)O,-0.4486432288019052,-1.7744221297657845,131.131014164,26.0,9.0,0.0,4.0,2.0,1.0,23.47,38.0702,0.658,0.755945675098406,-5.21054044102431,187.073411932946,-0.615315660768664,0.438635847676387,-5.82127543333848,4.82451139342306,4.96413129690195,1.0,10.1435835114599,-3.88764770360547,-1.98842092189001,-10.4517830598055,0,10.1435835114599,10.1435835114599,1.0,10.1435835114599,0.0384615384615384,0.0384615384615384,0.0,0.0,0.0,3.0,1.0,3.0,1.0,7.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
139-87-7,CCN(CCO)CCO,-0.1764284035282463,-1.7206217656813507,133.11027872,24.0,9.0,0.0,5.0,3.0,2.0,43.7,36.8665,0.885,-0.570294362301343,-49.8303249173002,246.965640027044,-3.49094878613484,0.875978731832176,-8.5275395302366,0.234300555531114,7.58656435208064,1.0,8.51287235242438,-3.58358812123394,-1.71542798573992,-10.4334799758019,0,8.51287235242438,8.51287235242438,2.0,17.02574470484876,0.0416666666666666,0.0833333333333333,0.0,0.0,0.0,1.0,1.0,5.0,2.0,6.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
121-93-7,CC(C)N(CCO)CCO,-0.4126583471273604,-1.7625929157110964,147.125928784,27.0,10.0,0.0,5.0,3.0,2.0,43.7,42.0713,0.846,-0.010037806885429,-2.48254871363051,242.001601722374,-4.17768687626914,0.877291091338477,-8.52654354481462,2.08875658570984,7.59805542136242,1.0,9.01865693269012,-3.52882628071707,-1.63902125716218,-10.3931168825347,0,9.01865693269012,9.01865693269012,2.0,18.03731386538024,0.037037037037037,0.074074074074074,0.0,0.0,0.0,2.0,1.0,4.0,2.0,7.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
2160-93-2,CC(C)(C)N(CCO)CCO,-0.5672448988604829,-1.788566978430303,161.141578848,30.0,11.0,0.0,5.0,3.0,2.0,43.7,46.3765,0.806,0.646221739128363,41.854682570664,251.183722452582,-3.80146055372198,0.638021212850489,-8.52557791881578,3.57010107151871,7.64903503102493,1.0,9.46435061138385,-3.31817601448616,-1.42185766264657,-10.4149947693355,0,9.46435061138385,9.46435061138385,2.0,18.9287012227677,0.0333333333333333,0.0666666666666666,0.0,0.0,0.0,3.0,1.0,4.0,2.0,8.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0
623-57-4,CN(C)CC(O)CO,-0.3258026353725788,-1.7517375674373492,119.094628656,21.0,8.0,0.0,3.0,3.0,2.0,43.7,32.2429,0.898,-1.48602905592873,-15.145851080045,239.441691765786,-2.96466507274635,0.897515625653506,-7.5776232310185,0.0,7.19660695314286,1.0,9.52532388842683,-5.51139391190052,-3.6145951332951,-10.5147740568035,0,9.52532388842683,9.52532388842683,2.0,19.05064777685366,0.0476190476190476,0.0952380952380952,0.0,0.0,0.0,2.0,1.0,2.0,2.0,5.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
621-56-7,CCN(CC)CC(O)CO,-0.8449694879675888,-1.828319278635803,147.125928784,27.0,10.0,0.0,5.0,3.0,2.0,43.7,40.8305,0.898,0.0177818462697128,11.287963139691,243.089316331236,-4.1129384530548,0.487824215752257,-7.36757483090876,3.21373761261241,7.59482415638362,1.0,9.67013801136997,-4.1523855166897,-2.25468148720521,-10.3897863380651,0,9.67013801136997,9.67013801136997,2.0,19.34027602273994,0.037037037037037,0.074074074074074,0.0,0.0,0.0,2.0,1.0,4.0,2.0,7.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
102-71-6,OCCN(CCO)CCO,-0.1692098016998241,-1.7071004845260922,149.10519334,25.0,10.0,0.0,6.0,4.0,3.0,63.93,38.865,1.14,-1.00059030849166,20.5269819345259,335.340685958488,-5.44184843742643,0.826305128870292,-10.2334682037793,0.0,7.2585612886965,1.0,8.09376187208854,-3.59545745389653,-1.77440579751365,-10.337565611333,0,8.09376187208854,8.09376187208854,3.0,24.28128561626562,0.04,0.12,0.0,0.0,0.0,0.0,1.0,6.0,3.0,6.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2955-88-6,OCCN1CCCC1,-0.679612544116936,-1.8013355451337636,115.099714036,21.0,8.0,1.0,2.0,2.0,1.0,23.47,30.1346,0.78,0.47100154525301,33.0236005842659,194.987021377614,-0.976633626843459,0.935970234514139,-6.29986881461562,2.65398259477737,4.97075341319457,1.0,10.1009372596475,-4.12994659972474,-2.23079951813077,-10.7082778625662,1,10.1009372596475,10.1009372596475,1.0,10.1009372596475,0.0476190476190476,0.0476190476190476,1.0,1.0,0.0476190476190476,0.0,1.0,6.0,1.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
85391-19-1,OCC(O)CN1CCCC1,-0.4204984688427408,-1.769893048965917,145.11027872,25.0,10.0,1.0,3.0,3.0,2.0,43.7,36.0971,1.048,0.0146967934684702,28.6544257750901,241.755490087999,-3.54619660619026,0.534078548339759,-6.97716906427517,1.80396186607266,7.78272029660918,1.0,9.82898072896209,-4.31430429622629,-2.41589827977708,-10.3643393223754,1,9.82898072896209,9.82898072896209,2.0,19.65796145792418,0.04,0.08,1.0,1.0,0.04,0.0,1.0,6.0,2.0,7.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
3040-44-6,OCCN1CCCCC1,-0.624181642749155,-1.7970978912538107,129.1153641,24.0,9.0,1.0,2.0,2.0,1.0,23.47,33.0462,0.78,0.958877975315774,18.0498098718946,201.831877000193,-1.41750691705989,0.597721019751065,-6.25937122347293,4.96279818682167,5.9932615008719,1.0,10.1133329332749,-3.65446553699496,-1.75529447893158,-10.7507588750286,1,10.1133329332749,10.1133329332749,1.0,10.1133329332749,0.0416666666666666,0.0416666666666666,1.0,1.0,0.0416666666666666,0.0,1.0,7.0,1.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4847-93-2,OCC(O)CN1CCCCC1,-0.8195609038095794,-1.821254236360875,159.125928784,28.0,11.0,1.0,3.0,3.0,2.0,43.7,39.0087,1.048,0.718289160659885,47.9515561505024,245.658431047171,-3.62239183748937,0.447643930917714,-6.86357708500196,4.51127356088822,7.84691109011143,1.0,9.88333767898161,-3.6650664837531,-1.76647325324565,-10.4139426039338,1,9.88333767898161,9.88333767898161,2.0,19.76667535796322,0.0357142857142857,0.0714285714285714,1.0,1.0,0.0357142857142857,0.0,1.0,7.0,2.0,8.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
533-15-3,CN1CCCCC1CCO,-0.7841621557457928,-1.82196941347484,143.131014164,27.0,10.0,1.0,2.0,2.0,1.0,23.47,35.628,0.808,1.26973385733153,47.0179016966265,199.925751578788,-1.64508701912315,0.390952972447115,-6.16734198947919,6.39539614568391,6.40873214297932,1.0,10.241000865432,-3.47127489269753,-1.57189285842696,-10.4348720877244,1,10.241000865432,10.241000865432,1.0,10.241000865432,0.037037037037037,0.037037037037037,1.0,1.0,0.037037037037037,1.0,1.0,6.0,1.0,8.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
3554-74-3,CN1CCCC(O)C1,-0.2929331141707303,-1.7442942915599902,115.099714036,21.0,8.0,1.0,0.0,2.0,1.0,23.47,29.8048,0.741,0.514980291748372,39.7934203369962,192.02763229529,-1.2307293704425,0.910007913046196,-6.27035362809552,0.754583997643524,4.89807618173505,1.0,8.89048203894604,-2.87567843799232,-0.989317547885082,-10.6715944545526,1,8.89048203894604,8.89048203894604,1.0,8.89048203894604,0.0476190476190476,0.0476190476190476,1.0,1.0,0.0476190476190476,1.0,1.0,4.0,1.0,6.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
13444-24-1,CCN1CCCC(O)C1,-0.2516266952561503,-1.7399904731097933,129.1153641,24.0,9.0,1.0,1.0,2.0,1.0,23.47,34.0986,0.741,1.02838442072749,46.9070806937032,184.651399360793,-1.92401209272315,0.531612766698448,-6.25844482914771,4.38587592967822,5.77989014631745,1.0,9.70086436490721,-3.17250729096452,-1.27464683012622,-10.5143694780687,1,9.70086436490721,9.70086436490721,1.0,9.70086436490721,0.0416666666666666,0.0416666666666666,1.0,1.0,0.0416666666666666,1.0,1.0,5.0,1.0,7.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
105-59-9,CN(CCO)CCO,-0.4162624643965059,-1.7581301593575298,119.094628656,21.0,8.0,0.0,4.0,3.0,2.0,43.7,32.5727,0.885,-1.70029962430188,-20.9980058642926,246.964405805961,-3.6954774149205,0.923873676679489,-8.5283645140196,0.0,7.3635634357897,1.0,8.40985563682321,-4.61068940908391,-2.75066116437861,-10.540160896749,0,8.40985563682321,8.40985563682321,2.0,16.81971127364642,0.0476190476190476,0.0952380952380952,0.0,0.0,0.0,1.0,1.0,4.0,2.0,5.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
693288-48-1,CCN(CC)CC(O)CCCO,-0.6667088191905327,-1.8326873888153024,175.157228912,33.0,12.0,0.0,7.0,3.0,2.0,43.7,46.6537,0.913,0.87916093841276,19.9855086619583,250.750043098904,-3.60425409530799,0.417433844983619,-9.0156783704642,7.07361468849774,7.8426866017187,1.0,10.96376047277,-4.58460102723098,-2.68471810155435,-10.5703947976111,0,10.96376047277,10.96376047277,2.0,21.92752094554,0.0303030303030303,0.0606060606060606,0.0,0.0,0.0,2.0,1.0,6.0,2.0,9.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
1009-65-0,CN(C)CC1CC(O)C(C)(C)O1,-0.0729228226089511,-1.7057317735857562,173.141578848,31.0,12.0,1.0,2.0,3.0,1.0,32.7,46.6627,0.808,0.921129912165001,-18.7771557261747,234.744631128184,-2.40380267916037,0.295469004877433,-6.28903778061419,4.58172489372199,6.73599681725822,1.0,8.38461400569521,-1.96405018580555,-0.106298248570407,-10.5690769650793,0,8.38461400569521,8.38461400569521,2.0,16.76922801139042,0.032258064516129,0.064516129032258,0.0,0.0,0.032258064516129,4.0,1.0,2.0,1.0,9.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0
118870-35-2,CN1CCC(C(O)CO)C1,-0.5716424700225239,-1.78907665783893,145.11027872,25.0,10.0,1.0,2.0,3.0,2.0,43.7,36.9728,1.076,-0.0914384787821871,29.7064490446391,241.16367208135,-3.53386496998463,0.817511191871676,-6.64492592860803,1.13664320201564,7.63585901498944,1.0,9.57193646899077,-4.16341174621592,-2.26628828233264,-10.412608924617,1,9.57193646899077,9.57193646899077,2.0,19.14387293798154,0.04,0.08,1.0,1.0,0.04,1.0,1.0,4.0,2.0,7.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
25727-94-0,CCCCCCCCCCN1CCOCC1,0.1559616303052987,-1.647909927708955,227.224914548,45.0,16.0,1.0,9.0,2.0,0.0,12.47,57.2696,0.71,3.61939070573554,-21.348038798241,276.827375812506,-2.83086468878584,-3.14858861173906,-5.09259473459796,17.8365506606627,7.50422388283146,1.0,7.52436096015359,1.59094299274885,3.25174398428725,-10.5802788507312,1,7.52436096015359,7.52436096015359,1.0,7.52436096015359,0.0222222222222222,0.0222222222222222,1.0,1.0,0.0222222222222222,1.0,1.0,13.0,0.0,14.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
437999-32-1,OCCN(CCO)C1CCCCC1O,-0.3176594505753403,-1.756233351860964,203.152143532,35.0,14.0,1.0,5.0,4.0,3.0,63.93,47.8828,1.212,-0.220167492756275,150.425308620371,302.579634193473,-6.63035787475629,0.0313115458682593,-10.4874923082443,3.1965857628385,8.31873175043789,1.0,9.44799120602295,-4.16820765057509,-2.27202999158971,-10.629223823234,0,9.44799120602295,9.44799120602295,3.0,28.34397361806885,0.0285714285714285,0.0857142857142857,0.0,0.0,0.0285714285714285,0.0,1.0,8.0,3.0,10.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0
3018-41-5,CN(C)CCSCCN(C)C,-0.3865082017507003,-1.7537207343848966,176.13471964,31.0,11.0,0.0,6.0,2.0,0.0,31.78,55.2251,0.812,1.04236806345286,-19.2544782104635,190.504562404627,-0.946261033175264,-1.74149578435286,-4.4663426661301,5.12124571209566,5.20262900817532,1.0,8.44992786268291,-1.90804689334088,-0.0446434672592246,-10.5531861701334,0,4.224963931341455,16.89985572536582,0.5,4.224963931341455,0.064516129032258,0.032258064516129,0.0,0.0,0.0,4.0,2.0,4.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
5842-09-1,CC(C)CN(CCS)CC(C)C,-0.4789565370016035,-1.7979646475691702,189.155120736,35.0,12.0,0.0,6.0,1.0,0.0,42.04,58.974,1.015,2.68242663356102,-30.3595222187047,226.995832765137,-0.225759414002301,-1.91946981024969,-3.40675695020908,12.746504545262,5.00598389385031,2.0,10.4131574603583,-2.23073613104994,-0.331151956883206,-10.4477574454279,0,10.4131574603583,10.4131574603583,1.0,10.4131574603583,0.0285714285714285,0.0285714285714285,0.0,0.0,0.0,4.0,1.0,4.0,0.0,10.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0
254448-29-8,CN(CCOCCO)CCOCCO,-0.0922527730979815,-1.7197822158953422,207.147058152,35.0,14.0,0.0,10.0,5.0,2.0,62.16,54.6597,1.255,-0.521006621903037,-6.65961916032375,278.512152457558,-5.01032201412006,0.529362282981771,-8.66154459742513,1.79845156681748,7.95013719666289,1.0,9.12525523572308,-4.14636477237464,-2.25436163149488,-10.6021260134208,0,9.12525523572308,9.12525523572308,4.0,36.50102094289232,0.0285714285714285,0.1142857142857142,0.0,0.0,0.0,1.0,1.0,8.0,2.0,9.0,1.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0
55675-72-4,CN1CCSCC1,-0.1772038807593889,-1.7176288237909578,117.061220352,18.0,7.0,1.0,0.0,1.0,0.0,28.54,35.237,0.714,1.24382711619367,-22.9587345045593,172.092084350028,1.14085464708536,-0.820768417666239,-4.92259029152024,2.87411052443502,3.9224026453134,1.0,8.59396639449558,-1.85048893598558,0.0229278964639013,-10.9842503219859,1,8.59396639449558,8.59396639449558,1.0,8.59396639449558,0.0555555555555555,0.0555555555555555,1.0,1.0,0.0555555555555555,1.0,1.0,4.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
61168-09-0,CN(C)C1CCC(O)CC1,-0.6265217766739151,-1.800825027106365,143.131014164,27.0,10.0,1.0,1.0,2.0,1.0,23.47,35.2982,0.769,1.27994644639305,59.4213466519967,198.181630216968,-1.67045058983479,0.4172280065714,-6.17954309643117,5.59331382247576,6.08137260929564,1.0,9.94767191361436,-3.16774095912013,-1.26895431426579,-10.4501613048903,0,9.94767191361436,9.94767191361436,1.0,9.94767191361436,0.037037037037037,0.037037037037037,0.0,0.0,0.037037037037037,2.0,1.0,4.0,1.0,8.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
854652-99-6,CN(C)CC(CO)(CO)CO,-0.2691072750355242,-1.7489796863964786,163.120843404,28.0,11.0,0.0,5.0,4.0,3.0,63.93,43.4545,1.262,-1.23717264756647,23.7158098498035,301.315240947605,-4.47044745782398,0.382926660764589,-7.93135062687312,0.684807378210547,7.89022640791094,1.0,9.41907207610296,-5.15629704587873,-3.2603813119705,-10.4364390840512,0,9.41907207610296,9.41907207610296,3.0,28.25721622830888,0.0357142857142857,0.1071428571428571,0.0,0.0,0.0,2.0,1.0,4.0,3.0,7.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0
90652-41-8,CSCCCCC(C(C)C)N1CCCC1,-0.4407564412046088,-1.775003434514598,229.186420864,42.0,15.0,1.0,7.0,1.0,0.0,28.54,62.7485,0.636,4.47271166446011,15.6420796577228,256.044981179397,-1.92571835039843,-2.92673957653035,-3.45727369729663,17.1157169196557,7.45043553647258,1.0,9.34901563968196,0.623634544201684,2.51883936057741,-10.6210226150576,1,9.34901563968196,9.34901563968196,1.0,9.34901563968196,0.0238095238095238,0.0238095238095238,1.0,1.0,0.0238095238095238,3.0,1.0,8.0,0.0,13.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0
629165-64-6,CCN1CC(O)CC(O)C1,-0.5469746444594195,-1.7836648670050343,145.11027872,25.0,10.0,1.0,1.0,3.0,2.0,43.7,37.1495,0.957,-0.359708817572557,67.6495219483076,240.043021444936,-3.22622198764496,0.864351153599043,-7.1608897400471,2.09459328489103,7.59245596702572,1.0,9.37695619130945,-4.23672265887975,-2.34122063752156,-10.3644629348602,1,9.37695619130945,9.37695619130945,2.0,18.7539123826189,0.04,0.08,1.0,1.0,0.04,1.0,1.0,4.0,2.0,7.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
1920-46-3,CC(S)CN(C)C,-0.3917571339736807,-1.7695984191126444,119.076870416,20.0,7.0,0.0,2.0,1.0,0.0,42.04,36.9918,1.054,1.28284967169316,-45.2615963938992,153.583968998654,1.1984532979801,-0.295464339622847,-4.04216498542132,3.28532079481184,3.17044062958974,2.0,9.91997854075818,-2.61719766427787,-0.721464438776147,-10.9251940367131,0,9.91997854075818,9.91997854075818,1.0,9.91997854075818,0.05,0.05,0.0,0.0,0.0,3.0,1.0,1.0,0.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
10295-91-7,CCN(C)C1COCC1O,-0.359430134808551,-1.7554345296232938,145.11027872,25.0,10.0,1.0,2.0,3.0,1.0,32.7,38.9891,0.82,0.278609302775679,2.86863611687441,203.505277422524,-2.17924395128548,0.872488133756091,-6.1883811592711,2.50369285884752,5.84114535241629,1.0,9.24075242908826,-3.46222201095102,-1.5683649436899,-10.3947641889631,0,9.24075242908826,9.24075242908826,2.0,18.48150485817652,0.04,0.08,0.0,0.0,0.04,2.0,1.0,3.0,1.0,7.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0
86375-49-7,CC(C)(C)CC(C)(C)N(CCO)CCO,-0.6283321069574483,-1.800447627476024,217.204179104,42.0,15.0,0.0,7.0,3.0,2.0,43.7,64.5254,0.727,2.8039311033505,15.2484575492655,277.221441866215,-2.74656410750931,-0.981349213747538,-9.06996863731026,11.4418132891096,7.94718111540382,1.0,9.30991391601522,-1.00605008503944,0.888705751118482,-10.7861552148158,0,9.30991391601522,9.30991391601522,2.0,18.61982783203044,0.0238095238095238,0.0476190476190476,0.0,0.0,0.0,5.0,1.0,5.0,2.0,12.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0
46321-78-2,CC(CO)N1CCN(C(C)CO)CC1,-0.2309516099098564,-1.7300372922440286,202.168127944,36.0,14.0,1.0,4.0,4.0,2.0,46.94,57.7916,1.205,-0.323230494212753,96.5491740091242,268.164228707575,-4.56119258908882,0.456298452894927,-8.63301038574994,3.40309575699238,7.94390902788736,1.0,8.41795277271378,-3.24170755426369,-1.38097420474927,-10.617268858973,1,4.20897638635689,16.83590554542756,1.0,8.41795277271378,0.0555555555555555,0.0555555555555555,0.5,0.5,0.0277777777777777,2.0,2.0,6.0,2.0,10.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
